총 823개 중 200개 표시
  901Y059       1.2.6.4. 보험계약실적
  105Y001       1.2.6.5. 예금규모별 계좌수 및 금액
  0000000048    1.3. 금리
  722Y001       1.3.1. 한국은행 기준금리 및 여수신금리
  0000000050    1.3.2. 시장금리
  817Y002       1.3.2.1. 시장금리(일별)
  721Y001       1.3.2.2. 시장금리(월,분기,년)
  0000000053    1.3.3. 예금은행 가중평균금리
  0000000054    1.3.3.1. 수신금리
  121Y002       1.3.3.1.1. 예금은행 수신금리(신규취급액 기준)
  121Y013       1.3.3.1.2. 예금은행 수신금리(잔액 기준)
  0000000055    1.3.3.2. 대출금리
  121Y006       1.3.3.2.1. 예금은행 대출금리(신규취급액 기준)
  121Y015       1.3.3.2.2. 예금은행 대출금리(잔액 기준)
  121Y008       1.3.3.3. 예금은행 금리수준별 여수신 비중(신규취급액 기준)
  0000000057    1.3.3.4. 예금은행 고정 및 변동금리대출 비중
  121Y010       1.3.3.4.1. 예금은행 고정 및 변동금리대출 비중(신규취급액 기준)
  121Y011       1.3.3.4.2. 예금은행 고정 및 변동금리대출 비중(잔액 기준)
  0000000058    1.3.4. 비은행금융기관 가중평균금리
  121Y004       1.3.4.1. 비은행금융기관 수신금리(신규취급액 기준)
  121Y007       1.3.4.2. 비은행금융기관 대출금리(신규취급액 기준)
  0000000061    1.4. 한국은행 주요계정
  103Y002       1.4.1. 한국은행 주요계정(말잔)
  871Y001       1.4.2. 화폐발행잔액
  0000000064    1.4.3. 예금은행 지급준비액
  814Y001       1.4.3.1. 예금은행 지급준비액(신기준, 평잔) 
  814Y002       1.4.3.2. 예금은행 지급준비액(구기준, 평잔)
  641Y001       1.4.4. 한국은행 원화대출금
  0000000397    1.5. 주식/채권/재정
  0000000398    1.5.1. 주식거래/주가지수
  802Y001       1.5.1.1. 주식시장(일)
  901Y014       1.5.1.2. 주식시장(월,년)
  901Y055       1.5.1.3. 투자자별 주식거래
  901Y056       1.5.1.4. 증시주변자금동향
  901Y057       1.5.1.5. 주가지수선물거래
  901Y058       1.5.1.6. 주가지수옵션거래
  0000000957    1.5.2. 채권거래
  901Y015       1.5.2.1. 채권종류별 거래
  901Y120       1.5.2.2. 채권시장별 거래
  191Y001       1.5.3. 주요 국공채 발행액/잔액
  0000000399    1.5.4. 재정
  901Y013       1.5.4.1. 통합재정수지
  901Y081       1.5.4.2. 조세징수액
  0000001000    1.6. 차주별 가계부채
  0000001001    1.6.1. 차주당 금액 기준
  0000001003    1.6.1.1. 신규취급액
  181Y001       1.6.1.1.1. 차주당 가계대출 신규취급액
  0000001007    1.6.1.1.2. 차주당 가계대출 신규취급액 (교차항목)
  181Y003       1.6.1.1.2.1. 연령별 지역별
  181Y005       1.6.1.1.2.2. 연령별 업권별
  181Y007       1.6.1.1.2.3. 연령별 상품별
  181Y009       1.6.1.1.2.4. 상품별 업권별
  181Y011       1.6.1.1.3. 차주당 주택담보대출 신규취급액
  0000001004    1.6.1.2. 잔액
  181Y002       1.6.1.2.1. 차주당 가계대출 잔액
  0000001008    1.6.1.2.2. 차주당 가계대출 잔액 (교차항목)
  181Y004       1.6.1.2.2.1. 연령별 지역별
  181Y006       1.6.1.2.2.2. 연령별 업권별
  181Y008       1.6.1.2.2.3. 연령별 상품별
  181Y010       1.6.1.2.2.4. 상품별 업권별
  181Y012       1.6.1.2.3. 차주당 주택담보대출 잔액
  0000001002    1.6.2. 금액 비중 기준
  0000001005    1.6.2.1. 신규취급액
  181Y013       1.6.2.1.1. 가계대출 신규취급액 비중
  181Y015       1.6.2.1.2. 주택담보대출 신규취급액 비중
  0000001006    1.6.2.2. 잔액
  181Y016       1.6.2.2.1. 가계대출 잔액 비중
  181Y014       1.6.2.2.2. 주택담보대출 잔액 비중
  0000000002    1.7. 통화/유동성(구지표)
  0000000003    1.7.1. 본원통화
  0000000004    1.7.1.1. 본원통화 구성내역
  102Y104       1.7.1.1.1. 본원통화 구성내역(평잔, 계절조정계열)
  102Y102       1.7.1.1.2. 본원통화 구성내역(평잔, 원계열)
  102Y103       1.7.1.1.3. 본원통화 구성내역(말잔, 계절조정계열)
  102Y101       1.7.1.1.4. 본원통화 구성내역(말잔, 원계열)
  0000000005    1.7.2. M1(협의통화)
  0000000006    1.7.2.1. M1(협의통화) 상품별 구성내역
  101Y018       1.7.2.1.1. M1 상품별 구성내역(평잔, 계절조정계열)
  101Y019       1.7.2.1.2. M1 상품별 구성내역(평잔, 원계열)
  101Y016       1.7.2.1.3. M1 상품별 구성내역(말잔, 계절조정계열)
  101Y017       1.7.2.1.4. M1 상품별 구성내역(말잔, 원계열)
  0000000007    1.7.3. M2(광의통화)
  0000000008    1.7.3.1. M2(광의통화) 상품별 구성내역
  101Y003       1.7.3.1.1. M2 상품별 구성내역(평잔, 계절조정계열)
  101Y004       1.7.3.1.2. M2 상품별 구성내역(평잔, 원계열)
  101Y001       1.7.3.1.3. M2 상품별 구성내역(말잔, 계절조정계열)
  101Y002       1.7.3.1.4. M2 상품별 구성내역(말잔, 원계열)
  0000000009    1.7.3.2. M2(광의통화) 경제주체별 보유현황
  101Y006       1.7.3.2.1. M2 경제주체별 보유현황(평잔, 계절조정계열)
  101Y015       1.7.3.2.2. M2 경제주체별 보유현황(평잔, 원계열)
  101Y005       1.7.3.2.3. M2 경제주체별 보유현황(말잔, 계절조정계열)
  101Y014       1.7.3.2.4. M2 경제주체별 보유현황(말잔, 원계열)
  0000000010    1.7.3.3. M2 기관별 구성내역
  101Y008       1.7.3.3.1. M2 기관별구성내역(평잔)
  101Y007       1.7.3.3.2. M2 기관별구성내역(말잔)
  0000000012    1.7.4. Lf(금융기관 유동성) 관련통계
  0000000013    1.7.4.1. Lf(금융기관 유동성) 상품별 구성내역
  111Y003       1.7.4.1.1. Lf 상품별 구성내역(평잔, 계절조정계열)
  111Y004       1.7.4.1.2. Lf 상품별 구성내역(평잔, 원계열)
  111Y001       1.7.4.1.3. Lf 상품별 구성내역(말잔, 계절조정계열)
  111Y002       1.7.4.1.4. Lf 상품별 구성내역(말잔, 원계열)
  0000000015    1.7.5. L(광의유동성) 구성내역
  112Y001       1.7.5.1. L(광의유동성) 구성내역(말잔, 계절조정계열)
